FunctionType, TotalTime, SecurityParam, Iteration
genECert,484.860533,640,25
genECert,472.759457,640,26
genECert,481.229161,640,27
genECert,484.432143,640,28
genECert,467.82364,640,29
genECert,461.967321,640,30
genECert,486.194742,640,31
genECert,483.655369,640,32
genECert,472.229489,640,33
genECert,488.094278,640,34
genECert,472.771642,640,35
genECert,474.317699,640,36
genECert,475.797636,640,37
genECert,483.44482,640,38
genECert,489.654118,640,39
genECert,474.274651,640,40
genECert,481.340228,640,41
genECert,493.83094,640,42
genECert,474.715026,640,43
genECert,473.170167,640,44
genECert,488.059019,640,45
genECert,475.853769,640,46
genECert,475.267668,640,47
genECert,460.624522,640,48
genECert,490.000606,640,49
genECert,487.272557,640,50
genECert,466.58222,640,51
genECert,475.674482,640,52
genECert,485.833873,640,53
genECert,455.775003,640,54
genECert,481.156747,640,55
genECert,480.247631,640,56
genECert,475.696256,640,57
genECert,476.474529,640,58
genECert,466.49043,640,59
genECert,468.613799,640,60
genECert,486.944149,640,61
genECert,480.523103,640,62
genECert,461.21302,640,63
genECert,461.814404,640,64
genECert,474.519459,640,65
genECert,476.811627,640,66
genECert,461.175067,640,67
genECert,457.105518,640,68
genECert,470.670347,640,69
genECert,488.593782,640,70
genECert,441.099897,640,71
genECert,470.410857,640,72
genECert,461.036331,640,73
genECert,467.079128,640,74
genECert,478.129956,640,75
genECert,472.538421,640,76
genECert,486.989594,640,77
genECert,471.072968,640,78
genECert,486.830884,640,79
genECert,470.71869,640,80
genECert,483.65477,640,81
genECert,489.87126,640,82
genECert,473.178757,640,83
genECert,471.079859,640,84
genECert,487.012167,640,85
genECert,488.692664,640,86
genECert,473.181055,640,87
genECert,484.907277,640,88
genECert,512.228809,640,89
genECert,484.135097,640,90
genECert,513.593482,640,91
genECert,510.435646,640,92
genECert,480.199389,640,93
genECert,515.053941,640,94
genECert,462.221319,640,95
genECert,477.1691,640,96
genECert,474.272654,640,97
genECert,492.87398,640,98
genECert,485.167866,640,99
genOCert,3110.1061059999997,160,0
genOCert,3070.528231,160,1
genOCert,3090.689224,160,2
genOCert,3089.166244,160,3
genOCert,3086.516912,160,4
genOCert,3083.136954,160,5
genOCert,3081.658821,160,6
genOCert,3060.8118489999997,160,7
genOCert,3104.009182,160,8
genOCert,3095.1962869999998,160,9
genOCert,3117.158816,160,10
genOCert,3103.617714,160,11
genOCert,3102.256143,160,12
genOCert,3089.313625,160,13
genOCert,3075.320063,160,14
genOCert,3090.232526,160,15
genOCert,3081.570387,160,16
genOCert,3086.294836,160,17
genOCert,3184.627312,160,18
genOCert,3092.9595640000002,160,19
genOCert,3085.3986080000004,160,20
genOCert,3060.530155,160,21
genOCert,3087.944362,160,22
genOCert,3070.083727,160,23
genOCert,3040.251112,160,24
genOCert,3088.528164,160,25
genOCert,3082.902493,160,26
genOCert,3089.119856,160,27
genOCert,3103.904372,160,28
genOCert,3098.806918,160,29
genOCert,3066.9694719999998,160,30
genOCert,3083.310726,160,31
genOCert,3086.604087,160,32
genOCert,3106.5083809999996,160,33
genOCert,3104.985901,160,34
genOCert,3082.7920459999996,160,35
genOCert,3114.8736750000003,160,36
genOCert,3110.935885,160,37
genOCert,3082.812023,160,38
genOCert,3081.197155,160,39
genOCert,3067.070052,160,40
genOCert,3094.8473280000003,160,41
genOCert,3205.4125839999997,160,42
genOCert,3118.565159,160,43
genOCert,3088.294265,160,44
genOCert,3076.103147,160,45
genOCert,3056.3534689999997,160,46
genOCert,3116.2456340000003,160,47
genOCert,3085.8783550000003,160,48
genOCert,3110.272179,160,49
genOCert,3092.54919,160,50
genOCert,3101.89727,160,51
genOCert,3104.1531729999997,160,52
genOCert,3106.7149120000004,160,53
genOCert,3069.8044219999997,160,54
genOCert,3087.5747859999997,160,55
genOCert,3139.648653,160,56
genOCert,3052.21015,160,57
genOCert,3096.624371,160,58
genOCert,3062.466793,160,59
genOCert,3074.432092,160,60
genOCert,3104.59075,160,61
genOCert,3124.0904459999997,160,62
genOCert,3107.237987,160,63
genOCert,3176.759602,160,64
genOCert,3057.2851600000004,160,65
genOCert,3113.866589,160,66
genOCert,3088.017104,160,67
genOCert,3129.417092,160,68
genOCert,3194.646178,160,69
genOCert,3105.624346,160,70
genOCert,3078.216326,160,71
genOCert,3064.6801149999997,160,72
genOCert,3093.109215,160,73
genOCert,3092.375992,160,74
genOCert,3100.2039290000002,160,75
genOCert,3100.862142,160,76
genOCert,3110.717755,160,77
genOCert,3086.704674,160,78
genOCert,3118.451406,160,79
genOCert,3109.771986,160,80
genOCert,3061.427505,160,81
genOCert,3075.9553309999997,160,82
genOCert,3090.0055270000003,160,83
genOCert,3082.219638,160,84
genOCert,3090.195999,160,85
genOCert,3109.371166,160,86
genOCert,3053.375435,160,87
genOCert,3100.306008,160,88
genOCert,3091.382479,160,89
genOCert,3078.746592,160,90
genOCert,3105.8850350000002,160,91
genOCert,3071.859129,160,92
genOCert,3134.486229,160,93
genOCert,3107.245109,160,94
genOCert,3093.829454,160,95
genOCert,3078.452444,160,96
genOCert,3089.406043,160,97
genOCert,3119.3193680000004,160,98
genOCert,3101.367338,160,99
genOCert,7589.2127120000005,320,0
genOCert,7561.138433,320,1
genOCert,7529.477882,320,2
genOCert,8929.783329,320,3
genOCert,7928.421529,320,4
genOCert,7527.138097,320,5
genOCert,7594.930146000001,320,6
genOCert,7470.775017,320,7
genOCert,7456.235172000001,320,8
genOCert,7476.279372,320,9
genOCert,7460.147138,320,10
genOCert,7520.139493000001,320,11
genOCert,7473.084107,320,12
genOCert,7466.012076,320,13
genOCert,7468.982436,320,14
genOCert,7513.5595,320,15
genOCert,7555.6626209999995,320,16
genOCert,7489.668994,320,17
genOCert,7451.8776210000005,320,18
genOCert,7468.877118,320,19
genOCert,7506.894313,320,20
genOCert,7507.5534849999995,320,21
genOCert,7472.2131660000005,320,22
genOCert,7456.305668999999,320,23
genOCert,7519.344864,320,24
genOCert,7409.469617,320,25
genOCert,7452.175202,320,26
genOCert,7567.965783,320,27
genOCert,7462.806702,320,28
genOCert,7503.811609,320,29
genOCert,7479.541292000001,320,30
genOCert,7517.161495,320,31
genOCert,7464.311117,320,32
genOCert,7464.638526,320,33
genOCert,7539.737031,320,34
genOCert,7537.539156,320,35
genOCert,7498.088974,320,36
genOCert,7490.454592,320,37
genOCert,7512.522178,320,38
genOCert,7482.141784,320,39
genOCert,7433.216716999999,320,40
genOCert,7463.253742,320,41
genOCert,7463.278713000001,320,42
genOCert,7424.042874000001,320,43
genOCert,7586.152161,320,44
genOCert,7453.564316,320,45
genOCert,7420.749207,320,46
genOCert,7473.016482,320,47
genOCert,7495.303365,320,48
genOCert,7442.171122999999,320,49
genOCert,7432.006163,320,50
genOCert,7465.741072,320,51
genOCert,7483.488875,320,52
genOCert,7455.748407,320,53
genOCert,7508.501002,320,54
genOCert,7454.8096319999995,320,55
genOCert,7483.8361190000005,320,56
genOCert,7479.408514,320,57
genOCert,7481.011396999999,320,58
genOCert,7493.8341629999995,320,59
genOCert,7505.999416,320,60
genOCert,7507.155633,320,61
genOCert,7505.978755,320,62
genOCert,7469.133646,320,63
genOCert,7457.302279,320,64
genOCert,7471.766701,320,65
genOCert,7426.936151999999,320,66
genOCert,7477.464694,320,67
genOCert,7478.307788,320,68
genOCert,7459.026519,320,69
genOCert,7469.69997,320,70
genOCert,7511.650759,320,71
genOCert,7468.2971450000005,320,72
genOCert,7496.211322,320,73
genOCert,7473.919591,320,74
genOCert,7484.603227,320,75
genOCert,7449.598843999999,320,76
genOCert,7564.355655,320,77
genOCert,7579.537518,320,78
genOCert,7598.428250999999,320,79
genOCert,7489.0093640000005,320,80
genOCert,7489.794726,320,81
genOCert,7447.858324,320,82
genOCert,7450.490879,320,83
genOCert,7548.268672,320,84
genOCert,7476.219642,320,85
genOCert,7479.2556159999995,320,86
genOCert,7469.435746,320,87
genOCert,7474.908109,320,88
genOCert,7443.103703000001,320,89
genOCert,7498.0880179999995,320,90
genOCert,7557.9445129999995,320,91
genOCert,7472.798729,320,92
genOCert,7511.9251890000005,320,93
genOCert,7514.190382,320,94
genOCert,7547.026256,320,95
genOCert,7472.583586,320,96
genOCert,7471.193048,320,97
genOCert,7444.548877,320,98
genOCert,7519.863306,320,99
genOCert,14175.763761,480,0
genOCert,14099.868655,480,1
genOCert,13959.515205000002,480,2
genOCert,14074.876155,480,3
genOCert,14080.463393,480,4
genOCert,14191.201954,480,5
genOCert,14010.648536,480,6
genOCert,13959.803961,480,7
genOCert,14035.425694000001,480,8
genOCert,14151.036944,480,9
genOCert,14065.09282,480,10
genOCert,14051.169122,480,11
genOCert,14002.458202,480,12
genOCert,14178.463543,480,13
genOCert,14073.60587,480,14
genOCert,14310.320552000001,480,15
genOCert,14088.494981,480,16
genOCert,13980.497718,480,17
genOCert,14061.652678,480,18
genOCert,14220.46327,480,19
genOCert,14098.497457000001,480,20
genOCert,14130.625958999999,480,21
genOCert,14207.683603,480,22
genOCert,14298.081746,480,23
genOCert,14231.389246,480,24
genOCert,13980.787273,480,25
genOCert,14223.189719,480,26
genOCert,14380.772076,480,27
genOCert,14097.326254,480,28
genOCert,14007.213672,480,29
genOCert,14185.510934,480,30
genOCert,14267.537955,480,31
genOCert,13979.612872,480,32
genOCert,14182.325131000001,480,33
genOCert,14091.002492,480,34
genOCert,14197.4801,480,35
genOCert,14310.40666,480,36
genOCert,14170.267848,480,37
genOCert,14151.14245,480,38
genOCert,14255.90654,480,39
genOCert,14154.859519,480,40
genOCert,13875.317216,480,41
genOCert,13868.400063,480,42
genOCert,14144.349949000001,480,43
genOCert,13807.222805,480,44
genOCert,13686.537697,480,45
genOCert,13621.69361,480,46
genOCert,13726.631094,480,47
genOCert,13638.480195,480,48
genOCert,14190.991938,480,49
genOCert,13995.989539,480,50
genOCert,14017.216829,480,51
genOCert,14028.67598,480,52
genOCert,13989.003585,480,53
genOCert,13984.64864,480,54
genOCert,14010.614801,480,55
genOCert,13834.440754,480,56
genOCert,14034.161927,480,57
genOCert,14028.853111,480,58
genOCert,14153.848799000001,480,59
genOCert,14123.442133999999,480,60
genOCert,13987.158228,480,61
genOCert,14109.230225,480,62
genOCert,13962.352849,480,63
genOCert,14143.350767,480,64
genOCert,13917.104567999999,480,65
genOCert,13849.280989,480,66
genOCert,13950.230394,480,67
genOCert,14132.661804,480,68
genOCert,14110.051047,480,69
genOCert,14013.892974999999,480,70
genOCert,13915.657872,480,71
genOCert,14012.902203,480,72
genOCert,14058.95403,480,73
genOCert,13862.525182000001,480,74
genOCert,13955.795519000001,480,75
genOCert,14072.467793,480,76
genOCert,14025.16555,480,77
genOCert,14097.158576,480,78
genOCert,13904.926104,480,79
genOCert,14092.688669,480,80
genOCert,13978.495936,480,81
